Token,AERO,NFLXB,KII,USDC,WARD,ICNT,CAKE,PCS-V3-POS,ETH,SUMR,AERO-CL-POS,WETH,SERV,AERO-CL-POS,AERO-CL-POS,KAITO,USAS,DEGEN,IRWT,EITHER,TRC,WWW.BADRP.CO ✅,TOAD,DOS,KELLYCLAUDE,GOOK,AURORA,WSTETH,USAS,EṬH,E឵Τ឵H,VELVET,HYPE,RAVE,TGBP,FRXUSD,ZORA,UNICLAW
AERO,-5366.84252 | +4805.3629,-,-,0.0 | +4499.08223,-,-,-,-,-1.10074 | +0.0,-,-,-0.03332 | +0.24697,-,-,-,-1970.79618 | +1973.93528,-,0.0 | +1287278.85421,-,-,-,-,-,-,0.0 | +2287695.40614,-,-,-0.0683 | +0.0,-,-,-,-1126.52734 | +0.0615,-1.48183 | +0.0,-,0.0 | +4e-05,0.0 | +13.95828,0.0 | +806452.56082,-
NFLXB,-,0.0 | +9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KII,-,-,0.0 | +9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
USDC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WARD,-,-,-,0.0 | +34.58902,-10000.0 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ICNT,-,-,-,-239.18002 | +159.00424,-,-1046.29751 | +1046.2975,0.0 | +4.20686,-,-0.07 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CAKE,-,-,-,0.0 | +159.00424,-,0.0 | +1.9409,0.0 | +4.20686,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PCS-V3-POS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ETH,0.0 | +158.70404,-,-,-,-,0.0 | +1044.3566,-,-,-2.70859 | +1.42575,-,-,-0.01766 | +0.03113,-,-,-,-1970.79618 | +81.85088,-,-157073.62676 | +0.0,-,-,-,-,-,-,-,-,-,-,-,0.0 | +0.0,-,-1126.52734 | +0.0615,-,-,-,-,-806452.56082 | +0.0,-
SUMR,-,-,-,-129.9485 | +0.0,-,-,-,-,-,-176720.74013 | +176720.74136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AERO-CL-POS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WETH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SERV,-,-,-,-,-,-,-,-,-,-,-,-0.79196 | +0.0,-66605.44049 | +0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
